filename,product,face1,face2,face3
00150.png,18,1,3,6
00151.png,15,1,3,5
00152.png,6,1,2,3
00153.png,8,1,2,4
00154.png,10,1,2,5
00155.png,20,1,4,5
00156.png,8,1,2,4
00157.png,36,2,3,6
00158.png,10,1,2,5
00159.png,20,1,4,5
00160.png,20,1,4,5
00161.png,20,1,4,5
00162.png,6,1,2,3
00163.png,20,1,4,5
00164.png,120,4,5,6
00165.png,120,4,5,6
00166.png,36,2,3,6
00167.png,10,1,2,5
00168.png,72,3,4,6
00169.png,48,2,4,6
00170.png,10,1,2,5
00171.png,20,1,4,5
00172.png,90,3,5,6
00173.png,120,4,5,6
00174.png,15,1,3,5
00175.png,20,1,4,5
00176.png,72,3,4,6
00177.png,8,1,2,4
00178.png,30,1,5,6
00179.png,20,1,4,5
00180.png,72,3,4,6
00181.png,36,2,3,6
00182.png,72,3,4,6
00183.png,15,1,3,5
00184.png,6,1,2,3
00185.png,20,1,4,5
00186.png,72,3,4,6
00187.png,6,1,2,3
00188.png,48,2,4,6
00189.png,40,2,4,5
00190.png,120,4,5,6
00191.png,72,3,4,6
00192.png,15,1,3,5
00193.png,20,1,4,5
00194.png,36,2,3,6
00195.png,120,4,5,6
00196.png,6,1,2,3
00197.png,6,1,2,3
00198.png,10,1,2,5
00199.png,6,1,2,3
00200.png,90,3,5,6
00201.png,36,2,3,6
00202.png,8,1,2,4
00203.png,12,1,3,4
00204.png,8,1,2,4
00205.png,90,3,5,6
00206.png,120,4,5,6
00207.png,60,2,5,6
00208.png,60,2,5,6
00209.png,20,1,4,5
00210.png,40,2,4,5
00211.png,72,3,4,6
00212.png,90,3,5,6
00213.png,72,3,4,6
00214.png,72,3,4,6
00215.png,6,1,2,3
00216.png,72,3,4,6
00217.png,36,2,3,6
00218.png,8,1,2,4
00219.png,20,1,4,5
00220.png,6,1,2,3
00221.png,8,1,2,4
00222.png,30,1,5,6
00223.png,6,1,2,3
00224.png,48,2,4,6
00225.png,36,2,3,6
00226.png,72,3,4,6
00227.png,48,2,4,6
00228.png,120,4,5,6
00229.png,24,2,3,4
00230.png,24,2,3,4
00231.png,120,4,5,6
00232.png,120,4,5,6
00233.png,90,3,5,6
00234.png,40,2,4,5
00235.png,120,4,5,6
00236.png,15,1,3,5
00237.png,18,1,3,6
00238.png,6,1,2,3
00239.png,24,2,3,4
00240.png,36,2,3,6
00241.png,18,1,3,6
00242.png,18,1,3,6
00243.png,12,1,3,4
00244.png,120,4,5,6
00245.png,90,3,5,6
00246.png,120,4,5,6
00247.png,36,2,3,6
00248.png,20,1,4,5
00249.png,6,1,2,3
00250.png,90,3,5,6
00251.png,72,3,4,6
00252.png,48,2,4,6
00253.png,72,3,4,6
00254.png,72,3,4,6
00255.png,6,1,2,3
00256.png,72,3,4,6
00257.png,6,1,2,3
00258.png,30,1,5,6
00259.png,120,4,5,6
00260.png,120,4,5,6
00261.png,40,2,4,5
00262.png,36,2,3,6
00263.png,12,1,3,4
00264.png,60,2,5,6
00265.png,30,1,5,6
00266.png,15,1,3,5
00267.png,24,2,3,4
00268.png,10,1,2,5
00269.png,72,3,4,6
00270.png,20,1,4,5
00271.png,90,3,5,6
00272.png,40,2,4,5
00273.png,18,1,3,6
00274.png,72,3,4,6
00275.png,24,2,3,4
00276.png,8,1,2,4
00277.png,72,3,4,6
00278.png,36,2,3,6
00279.png,36,2,3,6
00280.png,30,1,5,6
00281.png,120,4,5,6
00282.png,90,3,5,6
00283.png,6,1,2,3
00284.png,20,1,4,5
00285.png,120,4,5,6
00286.png,20,1,4,5
00287.png,20,1,4,5
00288.png,6,1,2,3
00289.png,6,1,2,3
00290.png,36,2,3,6
00291.png,8,1,2,4
00292.png,36,2,3,6
00293.png,10,1,2,5
00294.png,36,2,3,6
00295.png,15,1,3,5
00296.png,40,2,4,5
00297.png,15,1,3,5
00298.png,20,1,4,5
00299.png,120,4,5,6
00300.png,6,1,2,3
00301.png,6,1,2,3
00302.png,8,1,2,4
00303.png,6,1,2,3
00304.png,30,1,5,6
00305.png,8,1,2,4
00306.png,6,1,2,3
00307.png,20,1,4,5
00308.png,24,2,3,4
00309.png,15,1,3,5
00310.png,30,1,5,6
00311.png,30,1,5,6
00312.png,36,2,3,6
00313.png,120,4,5,6
00314.png,48,2,4,6
00315.png,48,2,4,6
00316.png,10,1,2,5
00317.png,120,4,5,6
00318.png,6,1,2,3
00319.png,90,3,5,6
00320.png,120,4,5,6
00321.png,20,1,4,5
00322.png,24,2,3,4
00323.png,72,3,4,6
00324.png,12,1,3,4
00325.png,15,1,3,5
00326.png,8,1,2,4
00327.png,72,3,4,6
00328.png,6,1,2,3
00329.png,6,1,2,3
00330.png,20,1,4,5
00331.png,60,2,5,6
00332.png,8,1,2,4
00333.png,10,1,2,5
00334.png,20,1,4,5
00335.png,120,4,5,6
00336.png,72,3,4,6
00337.png,10,1,2,5
00338.png,20,1,4,5
00339.png,10,1,2,5
00340.png,60,2,5,6
00341.png,36,2,3,6
00342.png,20,1,4,5
00343.png,72,3,4,6
00344.png,8,1,2,4
00345.png,10,1,2,5
00346.png,120,4,5,6
00347.png,30,1,5,6
00348.png,15,1,3,5
00349.png,10,1,2,5
00350.png,36,2,3,6
00351.png,120,4,5,6
00352.png,20,1,4,5
00353.png,12,1,3,4
00354.png,36,2,3,6
00355.png,20,1,4,5
00356.png,90,3,5,6
00357.png,72,3,4,6
00358.png,8,1,2,4
00359.png,6,1,2,3
00360.png,8,1,2,4
00361.png,6,1,2,3
00362.png,48,2,4,6
00363.png,72,3,4,6
00364.png,40,2,4,5
00365.png,6,1,2,3
00366.png,120,4,5,6
00367.png,120,4,5,6
00368.png,36,2,3,6
00369.png,48,2,4,6
00370.png,6,1,2,3
00371.png,36,2,3,6
00372.png,24,2,3,4
00373.png,40,2,4,5
00374.png,6,1,2,3
00375.png,60,2,5,6
00376.png,20,1,4,5
00377.png,48,2,4,6
00378.png,120,4,5,6
00379.png,8,1,2,4
00380.png,72,3,4,6
00381.png,8,1,2,4
00382.png,60,2,5,6
00383.png,60,2,5,6
00384.png,30,1,5,6
00385.png,40,2,4,5
00386.png,72,3,4,6
00387.png,20,1,4,5
00388.png,72,3,4,6
00389.png,72,3,4,6
00390.png,8,1,2,4
00391.png,90,3,5,6
00392.png,20,1,4,5
00393.png,120,4,5,6
00394.png,36,2,3,6
00395.png,120,4,5,6
00396.png,120,4,5,6
00397.png,72,3,4,6
00398.png,6,1,2,3
00399.png,6,1,2,3
00400.png,18,1,3,6
00401.png,120,4,5,6
00402.png,10,1,2,5
00403.png,36,2,3,6
00404.png,15,1,3,5
00405.png,36,2,3,6
00406.png,6,1,2,3
00407.png,15,1,3,5
00408.png,30,1,5,6
00409.png,36,2,3,6
00410.png,24,2,3,4
00411.png,48,2,4,6
00412.png,6,1,2,3
00413.png,15,1,3,5
00414.png,120,4,5,6
00415.png,60,2,5,6
00416.png,120,4,5,6
00417.png,72,3,4,6
00418.png,8,1,2,4
00419.png,120,4,5,6
00420.png,10,1,2,5
00421.png,8,1,2,4
00422.png,120,4,5,6
00423.png,72,3,4,6
00424.png,15,1,3,5
00425.png,30,1,5,6
00426.png,120,4,5,6
00427.png,90,3,5,6
00428.png,72,3,4,6
00429.png,36,2,3,6
00430.png,8,1,2,4
00431.png,6,1,2,3
00432.png,48,2,4,6
00433.png,6,1,2,3
00434.png,6,1,2,3
00435.png,20,1,4,5
00436.png,18,1,3,6
00437.png,8,1,2,4
00438.png,12,1,3,4
00439.png,120,4,5,6
00440.png,36,2,3,6
00441.png,72,3,4,6
00442.png,8,1,2,4
00443.png,10,1,2,5
00444.png,120,4,5,6
00445.png,36,2,3,6
00446.png,10,1,2,5
00447.png,10,1,2,5
00448.png,24,2,3,4
00449.png,36,2,3,6
00450.png,72,3,4,6
00451.png,36,2,3,6
00452.png,36,2,3,6
00453.png,15,1,3,5
00454.png,72,3,4,6
00455.png,72,3,4,6
00456.png,120,4,5,6
00457.png,18,1,3,6
00458.png,20,1,4,5
00459.png,6,1,2,3
00460.png,48,2,4,6
00461.png,18,1,3,6
00462.png,6,1,2,3
00463.png,40,2,4,5
00464.png,90,3,5,6
00465.png,120,4,5,6
00466.png,30,1,5,6
00467.png,40,2,4,5
00468.png,20,1,4,5
00469.png,120,4,5,6
00470.png,10,1,2,5
00471.png,20,1,4,5
00472.png,6,1,2,3
00473.png,72,3,4,6
00474.png,72,3,4,6
00475.png,12,1,3,4
00476.png,8,1,2,4
00477.png,36,2,3,6
00478.png,10,1,2,5
00479.png,6,1,2,3
00480.png,15,1,3,5
00481.png,120,4,5,6
00482.png,18,1,3,6
00483.png,120,4,5,6
00484.png,18,1,3,6
00485.png,40,2,4,5
00486.png,120,4,5,6
00487.png,48,2,4,6
00488.png,36,2,3,6
00489.png,30,1,5,6
00490.png,36,2,3,6
00491.png,20,1,4,5
00492.png,48,2,4,6
00493.png,12,1,3,4
00494.png,20,1,4,5
00495.png,6,1,2,3
00496.png,10,1,2,5
00497.png,24,2,3,4
00498.png,72,3,4,6
00499.png,120,4,5,6
00500.png,120,4,5,6
00501.png,15,1,3,5
00502.png,10,1,2,5
00503.png,12,1,3,4
00504.png,90,3,5,6
00505.png,6,1,2,3
00506.png,6,1,2,3
00507.png,60,2,5,6
00508.png,48,2,4,6
00509.png,24,2,3,4
00510.png,6,1,2,3
00511.png,120,4,5,6
00512.png,8,1,2,4
00513.png,20,1,4,5
00514.png,40,2,4,5
00515.png,12,1,3,4
00516.png,60,2,5,6
00517.png,120,4,5,6
00518.png,48,2,4,6
00519.png,120,4,5,6
00520.png,6,1,2,3
00521.png,24,2,3,4
00522.png,12,1,3,4
00523.png,40,2,4,5
00524.png,120,4,5,6
00525.png,10,1,2,5
00526.png,20,1,4,5
00527.png,30,1,5,6
00528.png,20,1,4,5
00529.png,6,1,2,3
00530.png,18,1,3,6
00531.png,60,2,5,6
00532.png,20,1,4,5
00533.png,90,3,5,6
00534.png,8,1,2,4
00535.png,120,4,5,6
00536.png,48,2,4,6
00537.png,120,4,5,6
00538.png,36,2,3,6
00539.png,20,1,4,5
00540.png,120,4,5,6
00541.png,72,3,4,6
00542.png,15,1,3,5
00543.png,120,4,5,6
00544.png,6,1,2,3
00545.png,8,1,2,4
00546.png,20,1,4,5
00547.png,120,4,5,6
00548.png,120,4,5,6
00549.png,6,1,2,3
00550.png,10,1,2,5
00551.png,40,2,4,5
00552.png,6,1,2,3
00553.png,18,1,3,6
00554.png,72,3,4,6
00555.png,30,1,5,6
00556.png,90,3,5,6
00557.png,10,1,2,5
00558.png,12,1,3,4
00559.png,90,3,5,6
00560.png,8,1,2,4
00561.png,20,1,4,5
00562.png,120,4,5,6
00563.png,6,1,2,3
00564.png,120,4,5,6
00565.png,6,1,2,3
00566.png,30,1,5,6
00567.png,8,1,2,4
00568.png,6,1,2,3
00569.png,36,2,3,6
00570.png,48,2,4,6
00571.png,6,1,2,3
00572.png,10,1,2,5
00573.png,8,1,2,4
00574.png,12,1,3,4
00575.png,20,1,4,5
00576.png,6,1,2,3
00577.png,90,3,5,6
00578.png,72,3,4,6
00579.png,15,1,3,5
00580.png,120,4,5,6
00581.png,10,1,2,5
00582.png,72,3,4,6
00583.png,120,4,5,6
00584.png,120,4,5,6
00585.png,6,1,2,3
00586.png,120,4,5,6
00587.png,18,1,3,6
00588.png,72,3,4,6
00589.png,36,2,3,6
00590.png,60,2,5,6
00591.png,6,1,2,3
00592.png,30,1,5,6
00593.png,12,1,3,4
00594.png,24,2,3,4
00595.png,36,2,3,6
00596.png,10,1,2,5
00597.png,30,1,5,6
00598.png,8,1,2,4
00599.png,8,1,2,4
00600.png,40,2,4,5
00601.png,6,1,2,3
00602.png,15,1,3,5
00603.png,20,1,4,5
00604.png,30,1,5,6
00605.png,72,3,4,6
00606.png,36,2,3,6
00607.png,90,3,5,6
00608.png,72,3,4,6
00609.png,72,3,4,6
00610.png,60,2,5,6
00611.png,36,2,3,6
00612.png,72,3,4,6
00613.png,18,1,3,6
00614.png,6,1,2,3
00615.png,30,1,5,6
00616.png,30,1,5,6
00617.png,10,1,2,5
00618.png,20,1,4,5
00619.png,6,1,2,3
00620.png,6,1,2,3
00621.png,6,1,2,3
00622.png,10,1,2,5
00623.png,90,3,5,6
00624.png,40,2,4,5
00625.png,18,1,3,6
00626.png,18,1,3,6
00627.png,40,2,4,5
00628.png,15,1,3,5
00629.png,18,1,3,6
00630.png,36,2,3,6
00631.png,8,1,2,4
00632.png,72,3,4,6
00633.png,15,1,3,5
00634.png,20,1,4,5
00635.png,6,1,2,3
00636.png,120,4,5,6
00637.png,90,3,5,6
00638.png,40,2,4,5
00639.png,20,1,4,5
00640.png,120,4,5,6
00641.png,18,1,3,6
00642.png,36,2,3,6
00643.png,8,1,2,4
00644.png,36,2,3,6
00645.png,10,1,2,5
00646.png,6,1,2,3
00647.png,72,3,4,6
00648.png,90,3,5,6
00649.png,20,1,4,5
00650.png,120,4,5,6
00651.png,20,1,4,5
00652.png,18,1,3,6
00653.png,10,1,2,5
00654.png,48,2,4,6
00655.png,36,2,3,6
00656.png,72,3,4,6
00657.png,10,1,2,5
00658.png,60,2,5,6
00659.png,8,1,2,4
00660.png,48,2,4,6
00661.png,36,2,3,6
00662.png,36,2,3,6
00663.png,24,2,3,4
00664.png,12,1,3,4
00665.png,20,1,4,5
00666.png,20,1,4,5
00667.png,20,1,4,5
00668.png,30,1,5,6
00669.png,30,1,5,6
00670.png,6,1,2,3
00671.png,6,1,2,3
00672.png,15,1,3,5
00673.png,36,2,3,6
00674.png,36,2,3,6
00675.png,15,1,3,5
00676.png,20,1,4,5
00677.png,18,1,3,6
00678.png,15,1,3,5
00679.png,10,1,2,5
00680.png,6,1,2,3
00681.png,30,1,5,6
00682.png,30,1,5,6
00683.png,30,1,5,6
00684.png,6,1,2,3
00685.png,48,2,4,6
00686.png,48,2,4,6
00687.png,120,4,5,6
00688.png,72,3,4,6
00689.png,48,2,4,6
00690.png,15,1,3,5
00691.png,40,2,4,5
00692.png,120,4,5,6
00693.png,60,2,5,6
00694.png,36,2,3,6
00695.png,36,2,3,6
00696.png,30,1,5,6
00697.png,40,2,4,5
00698.png,6,1,2,3
00699.png,90,3,5,6
00700.png,36,2,3,6
00701.png,6,1,2,3
00702.png,15,1,3,5
00703.png,48,2,4,6
00704.png,120,4,5,6
00705.png,40,2,4,5
00706.png,48,2,4,6
00707.png,20,1,4,5
00708.png,72,3,4,6
00709.png,10,1,2,5
00710.png,72,3,4,6
00711.png,12,1,3,4
00712.png,15,1,3,5
00713.png,36,2,3,6
00714.png,10,1,2,5
00715.png,10,1,2,5
00716.png,48,2,4,6
00717.png,8,1,2,4
00718.png,6,1,2,3
00719.png,120,4,5,6
00720.png,120,4,5,6
00721.png,10,1,2,5
00722.png,15,1,3,5
00723.png,48,2,4,6
00724.png,20,1,4,5
00725.png,18,1,3,6
00726.png,18,1,3,6
00727.png,6,1,2,3
00728.png,120,4,5,6
00729.png,60,2,5,6
00730.png,20,1,4,5
00731.png,36,2,3,6
00732.png,90,3,5,6
00733.png,120,4,5,6
00734.png,48,2,4,6
00735.png,120,4,5,6
00736.png,10,1,2,5
00737.png,20,1,4,5
00738.png,6,1,2,3
00739.png,36,2,3,6
00740.png,36,2,3,6
00741.png,12,1,3,4
00742.png,12,1,3,4
00743.png,40,2,4,5
00744.png,36,2,3,6
00745.png,120,4,5,6
00746.png,6,1,2,3
00747.png,12,1,3,4
00748.png,6,1,2,3
00749.png,72,3,4,6
00750.png,60,2,5,6
00751.png,10,1,2,5
00752.png,120,4,5,6
00753.png,120,4,5,6
00754.png,6,1,2,3
00755.png,36,2,3,6
00756.png,72,3,4,6
00757.png,24,2,3,4
00758.png,18,1,3,6
00759.png,72,3,4,6
00760.png,12,1,3,4
00761.png,20,1,4,5
00762.png,36,2,3,6
00763.png,24,2,3,4
00764.png,10,1,2,5
00765.png,12,1,3,4
00766.png,120,4,5,6
00767.png,6,1,2,3
00768.png,20,1,4,5
00769.png,20,1,4,5
00770.png,90,3,5,6
00771.png,36,2,3,6
00772.png,120,4,5,6
00773.png,6,1,2,3
00774.png,6,1,2,3
00775.png,120,4,5,6
00776.png,40,2,4,5
00777.png,10,1,2,5
00778.png,20,1,4,5
00779.png,20,1,4,5
00780.png,120,4,5,6
00781.png,30,1,5,6
00782.png,120,4,5,6
00783.png,120,4,5,6
00784.png,90,3,5,6
00785.png,24,2,3,4
00786.png,24,2,3,4
00787.png,6,1,2,3
00788.png,20,1,4,5
00789.png,12,1,3,4
00790.png,20,1,4,5
00791.png,40,2,4,5
00792.png,36,2,3,6
00793.png,72,3,4,6
00794.png,18,1,3,6
00795.png,6,1,2,3
00796.png,60,2,5,6
00797.png,120,4,5,6
00798.png,24,2,3,4
00799.png,18,1,3,6
00800.png,72,3,4,6
00801.png,120,4,5,6
00802.png,120,4,5,6
00803.png,48,2,4,6
00804.png,6,1,2,3
00805.png,90,3,5,6
00806.png,120,4,5,6
00807.png,10,1,2,5
00808.png,15,1,3,5
00809.png,18,1,3,6
00810.png,72,3,4,6
00811.png,20,1,4,5
00812.png,30,1,5,6
00813.png,90,3,5,6
00814.png,6,1,2,3
00815.png,20,1,4,5
00816.png,18,1,3,6
00817.png,48,2,4,6
00818.png,120,4,5,6
00819.png,120,4,5,6
00820.png,6,1,2,3
00821.png,90,3,5,6
00822.png,120,4,5,6
00823.png,90,3,5,6
00824.png,6,1,2,3
00825.png,120,4,5,6
00826.png,36,2,3,6
00827.png,30,1,5,6
00828.png,30,1,5,6
00829.png,6,1,2,3
00830.png,72,3,4,6
00831.png,20,1,4,5
00832.png,120,4,5,6
00833.png,20,1,4,5
00834.png,10,1,2,5
00835.png,72,3,4,6
00836.png,30,1,5,6
00837.png,20,1,4,5
00838.png,15,1,3,5
00839.png,60,2,5,6
00840.png,20,1,4,5
00841.png,10,1,2,5
00842.png,90,3,5,6
00843.png,6,1,2,3
00844.png,12,1,3,4
00845.png,120,4,5,6
00846.png,6,1,2,3
00847.png,6,1,2,3
00848.png,72,3,4,6
00849.png,8,1,2,4
00850.png,24,2,3,4
00851.png,12,1,3,4
00852.png,12,1,3,4
00853.png,10,1,2,5
00854.png,10,1,2,5
00855.png,6,1,2,3
00856.png,36,2,3,6
00857.png,8,1,2,4
00858.png,20,1,4,5
00859.png,15,1,3,5
00860.png,20,1,4,5
00861.png,12,1,3,4
00862.png,36,2,3,6
00863.png,90,3,5,6
00864.png,6,1,2,3
00865.png,120,4,5,6
00866.png,20,1,4,5
00867.png,20,1,4,5
00868.png,72,3,4,6
00869.png,120,4,5,6
00870.png,12,1,3,4
00871.png,15,1,3,5
00872.png,10,1,2,5
00873.png,6,1,2,3
00874.png,6,1,2,3
00875.png,6,1,2,3
00876.png,72,3,4,6
00877.png,72,3,4,6
00878.png,48,2,4,6
00879.png,72,3,4,6
00880.png,36,2,3,6
00881.png,72,3,4,6
00882.png,120,4,5,6
00883.png,30,1,5,6
00884.png,48,2,4,6
00885.png,20,1,4,5
00886.png,36,2,3,6
00887.png,90,3,5,6
00888.png,24,2,3,4
00889.png,6,1,2,3
00890.png,72,3,4,6
00891.png,90,3,5,6
00892.png,60,2,5,6
00893.png,36,2,3,6
00894.png,20,1,4,5
00895.png,10,1,2,5
00896.png,6,1,2,3
00897.png,120,4,5,6
00898.png,40,2,4,5
00899.png,6,1,2,3
00900.png,48,2,4,6
00901.png,36,2,3,6
00902.png,6,1,2,3
00903.png,120,4,5,6
00904.png,10,1,2,5
00905.png,15,1,3,5
00906.png,20,1,4,5
00907.png,120,4,5,6
00908.png,20,1,4,5
00909.png,10,1,2,5
00910.png,20,1,4,5
00911.png,24,2,3,4
00912.png,6,1,2,3
00913.png,10,1,2,5
00914.png,36,2,3,6
00915.png,48,2,4,6
00916.png,36,2,3,6
00917.png,10,1,2,5
00918.png,120,4,5,6
00919.png,48,2,4,6
00920.png,8,1,2,4
00921.png,20,1,4,5
00922.png,8,1,2,4
00923.png,20,1,4,5
00924.png,72,3,4,6
00925.png,10,1,2,5
00926.png,15,1,3,5
00927.png,120,4,5,6
00928.png,6,1,2,3
00929.png,24,2,3,4
00930.png,8,1,2,4
00931.png,18,1,3,6
00932.png,120,4,5,6
00933.png,12,1,3,4
00934.png,6,1,2,3
00935.png,60,2,5,6
00936.png,36,2,3,6
00937.png,40,2,4,5
00938.png,20,1,4,5
00939.png,40,2,4,5
00940.png,30,1,5,6
00941.png,6,1,2,3
00942.png,36,2,3,6
00943.png,90,3,5,6
00944.png,120,4,5,6
00945.png,12,1,3,4
00946.png,6,1,2,3
00947.png,8,1,2,4
00948.png,20,1,4,5
00949.png,10,1,2,5
00950.png,48,2,4,6
00951.png,6,1,2,3
00952.png,36,2,3,6
00953.png,20,1,4,5
00954.png,36,2,3,6
00955.png,6,1,2,3
00956.png,18,1,3,6
00957.png,6,1,2,3
00958.png,6,1,2,3
00959.png,15,1,3,5
00960.png,8,1,2,4
00961.png,30,1,5,6
00962.png,24,2,3,4
00963.png,10,1,2,5
00964.png,72,3,4,6
00965.png,20,1,4,5
00966.png,6,1,2,3
00967.png,90,3,5,6
00968.png,72,3,4,6
00969.png,120,4,5,6
00970.png,120,4,5,6
00971.png,90,3,5,6
00972.png,120,4,5,6
00973.png,12,1,3,4
00974.png,8,1,2,4
00975.png,6,1,2,3
00976.png,12,1,3,4
00977.png,36,2,3,6
00978.png,40,2,4,5
00979.png,6,1,2,3
00980.png,40,2,4,5
00981.png,8,1,2,4
00982.png,15,1,3,5
00983.png,36,2,3,6
00984.png,8,1,2,4
00985.png,15,1,3,5
00986.png,40,2,4,5
00987.png,60,2,5,6
00988.png,6,1,2,3
00989.png,36,2,3,6
00990.png,120,4,5,6
00991.png,10,1,2,5
00992.png,72,3,4,6
00993.png,36,2,3,6
00994.png,72,3,4,6
00995.png,72,3,4,6
00996.png,6,1,2,3
00997.png,6,1,2,3
00998.png,20,1,4,5
00999.png,36,2,3,6
01000.png,120,4,5,6
01001.png,24,2,3,4
01002.png,6,1,2,3
01003.png,20,1,4,5
01004.png,8,1,2,4
01005.png,72,3,4,6
01006.png,30,1,5,6
01007.png,72,3,4,6
01008.png,24,2,3,4
01009.png,8,1,2,4
01010.png,15,1,3,5
01011.png,6,1,2,3
01012.png,40,2,4,5
01013.png,15,1,3,5
01014.png,15,1,3,5
01015.png,72,3,4,6
01016.png,40,2,4,5
01017.png,20,1,4,5
01018.png,90,3,5,6
01019.png,24,2,3,4
01020.png,18,1,3,6
01021.png,40,2,4,5
01022.png,12,1,3,4
01023.png,6,1,2,3
01024.png,72,3,4,6
01025.png,120,4,5,6
01026.png,120,4,5,6
01027.png,72,3,4,6
01028.png,15,1,3,5
01029.png,90,3,5,6
01030.png,8,1,2,4
01031.png,120,4,5,6
01032.png,6,1,2,3
01033.png,72,3,4,6
01034.png,72,3,4,6
01035.png,10,1,2,5
01036.png,10,1,2,5
01037.png,8,1,2,4
01038.png,10,1,2,5
01039.png,72,3,4,6
01040.png,15,1,3,5
01041.png,24,2,3,4
01042.png,90,3,5,6
01043.png,120,4,5,6
01044.png,20,1,4,5
01045.png,60,2,5,6
01046.png,20,1,4,5
01047.png,72,3,4,6
01048.png,20,1,4,5
01049.png,90,3,5,6
01050.png,8,1,2,4
01051.png,36,2,3,6
01052.png,8,1,2,4
01053.png,15,1,3,5
01054.png,48,2,4,6
01055.png,36,2,3,6
01056.png,30,1,5,6
01057.png,36,2,3,6
01058.png,24,2,3,4
01059.png,8,1,2,4
01060.png,20,1,4,5
01061.png,120,4,5,6
01062.png,120,4,5,6
01063.png,40,2,4,5
01064.png,36,2,3,6
01065.png,6,1,2,3
01066.png,120,4,5,6
01067.png,40,2,4,5
01068.png,120,4,5,6
01069.png,36,2,3,6
01070.png,20,1,4,5
01071.png,120,4,5,6
01072.png,6,1,2,3
01073.png,36,2,3,6
